timestamp,raw
2026-05-20T13:09:11,Particles > 0.3um / 0.1L air:436
2026-05-20T13:09:11,Particles > 0.5um / 0.1L air:358
2026-05-20T13:09:11,Particles > 1.0um / 0.1L air:73
2026-05-20T13:09:11,Particles > 2.5um / 0.1L air:2
2026-05-20T13:09:11,Particles > 5.0um / 0.1L air:0
2026-05-20T13:09:11,Particles > 10.0 um / 0.1L air:0
2026-05-20T13:10:12,-----------------------------------------
2026-05-20T13:10:13,PM 1.0:3
2026-05-20T13:10:13,PM 2.5:6
2026-05-20T13:10:13,PM  10:6
2026-05-20T13:10:13,PM 1.0:3
2026-05-20T13:10:13,PM 2.5:6
2026-05-20T13:10:13,PM  10:6
2026-05-20T13:10:13,Particles > 0.3um / 0.1L air:442
2026-05-20T13:10:13,Particles > 0.5um / 0.1L air:381
2026-05-20T13:10:13,Particles > 1.0um / 0.1L air:60
2026-05-20T13:10:13,Particles > 2.5um / 0.1L air:2
2026-05-20T13:10:13,Particles > 5.0um / 0.1L air:0
2026-05-20T13:10:13,Particles > 10.0 um / 0.1L air:0
2026-05-20T13:11:13,-----------------------------------------
2026-05-20T13:11:14,PM 1.0:3
2026-05-20T13:11:14,PM 2.5:6
2026-05-20T13:11:14,PM  10:6
2026-05-20T13:11:14,PM 1.0:3
2026-05-20T13:11:14,PM 2.5:6
2026-05-20T13:11:14,PM  10:6
2026-05-20T13:11:14,Particles > 0.3um / 0.1L air:450
2026-05-20T13:11:14,Particles > 0.5um / 0.1L air:377
2026-05-20T13:11:14,Particles > 1.0um / 0.1L air:60
2026-05-20T13:11:14,Particles > 2.5um / 0.1L air:4
2026-05-20T13:11:14,Particles > 5.0um / 0.1L air:0
2026-05-20T13:11:14,Particles > 10.0 um / 0.1L air:0
2026-05-20T13:12:15,-----------------------------------------
2026-05-20T13:12:16,PM 1.0:3
2026-05-20T13:12:16,PM 2.5:6
2026-05-20T13:12:16,PM  10:6
2026-05-20T13:12:16,PM 1.0:3
2026-05-20T13:12:16,PM 2.5:6
2026-05-20T13:12:16,PM  10:6
2026-05-20T13:12:16,Particles > 0.3um / 0.1L air:543
2026-05-20T13:12:16,Particles > 0.5um / 0.1L air:466
2026-05-20T13:12:16,Particles > 1.0um / 0.1L air:95
2026-05-20T13:12:16,Particles > 2.5um / 0.1L air:8
2026-05-20T13:12:16,Particles > 5.0um / 0.1L air:0
2026-05-20T13:12:16,Particles > 10.0 um / 0.1L air:0
2026-05-20T13:13:15,-----------------------------------------
2026-05-20T13:13:16,PM 1.0:3
2026-05-20T13:13:16,PM 2.5:7
2026-05-20T13:13:16,PM  10:7
2026-05-20T13:13:16,PM 1.0:3
2026-05-20T13:13:16,PM 2.5:7
2026-05-20T13:13:16,PM  10:7
2026-05-20T13:13:16,Particles > 0.3um / 0.1L air:543
2026-05-20T13:13:16,Particles > 0.5um / 0.1L air:464
2026-05-20T13:13:16,Particles > 1.0um / 0.1L air:93
2026-05-20T13:13:16,Particles > 2.5um / 0.1L air:10
2026-05-20T13:13:16,Particles > 5.0um / 0.1L air:0
2026-05-20T13:13:16,Particles > 10.0 um / 0.1L air:0
2026-05-20T13:14:21,-----------------------------------------
2026-05-20T13:14:21,PM 1.0:5
2026-05-20T13:14:21,PM 2.5:7
2026-05-20T13:14:21,PM  10:7
2026-05-20T13:14:21,PM 1.0:5
2026-05-20T13:14:21,PM 2.5:7
2026-05-20T13:14:21,PM  10:7
2026-05-20T13:14:22,Particles > 0.3um / 0.1L air:540
2026-05-20T13:14:22,Particles > 0.5um / 0.1L air:472
2026-05-20T13:14:22,Particles > 1.0um / 0.1L air:84
2026-05-20T13:14:22,Particles > 2.5um / 0.1L air:10
2026-05-20T13:14:22,Particles > 5.0um / 0.1L air:2
2026-05-20T13:14:22,Particles > 10.0 um / 0.1L air:2
2026-05-20T13:15:21,-----------------------------------------
2026-05-20T13:15:22,PM 1.0:5
2026-05-20T13:15:22,PM 2.5:7
2026-05-20T13:15:22,PM  10:7
2026-05-20T13:15:22,PM 1.0:5
2026-05-20T13:15:22,PM 2.5:7
2026-05-20T13:15:22,PM  10:7
2026-05-20T13:15:22,Particles > 0.3um / 0.1L air:499
2026-05-20T13:15:22,Particles > 0.5um / 0.1L air:427
2026-05-20T13:15:22,Particles > 1.0um / 0.1L air:82
2026-05-20T13:15:22,Particles > 2.5um / 0.1L air:8
2026-05-20T13:15:22,Particles > 5.0um / 0.1L air:2
2026-05-20T13:15:22,Particles > 10.0 um / 0.1L air:2
2026-05-20T13:16:25,-----------------------------------------
2026-05-20T13:16:26,PM 1.0:2
2026-05-20T13:16:26,PM 2.5:5
2026-05-20T13:16:26,PM  10:5
2026-05-20T13:16:26,PM 1.0:2
2026-05-20T13:16:26,PM 2.5:5
2026-05-20T13:16:26,PM  10:5
2026-05-20T13:16:26,Particles > 0.3um / 0.1L air:417
2026-05-20T13:16:26,Particles > 0.5um / 0.1L air:343
2026-05-20T13:16:26,Particles > 1.0um / 0.1L air:51
2026-05-20T13:16:26,Particles > 2.5um / 0.1L air:2
2026-05-20T13:16:26,Particles > 5.0um / 0.1L air:0
2026-05-20T13:16:26,Particles > 10.0 um / 0.1L air:0
2026-05-20T13:17:26,-----------------------------------------
2026-05-20T13:17:27,PM 1.0:2
2026-05-20T13:17:27,PM 2.5:5
2026-05-20T13:17:27,PM  10:5
2026-05-20T13:17:27,PM 1.0:2
2026-05-20T13:17:27,PM 2.5:5
2026-05-20T13:17:27,PM  10:5
2026-05-20T13:17:27,Particles > 0.3um / 0.1L air:407
2026-05-20T13:17:27,Particles > 0.5um / 0.1L air:330
2026-05-20T13:17:27,Particles > 1.0um / 0.1L air:50
2026-05-20T13:17:27,Particles > 2.5um / 0.1L air:0
2026-05-20T13:17:27,Particles > 5.0um / 0.1L air:0
2026-05-20T13:17:27,Particles > 10.0 um / 0.1L air:0
2026-05-20T13:18:29,-----------------------------------------
2026-05-20T13:18:30,PM 1.0:3
2026-05-20T13:18:30,PM 2.5:6
2026-05-20T13:18:30,PM  10:6
2026-05-20T13:18:30,PM 1.0:3
2026-05-20T13:18:30,PM 2.5:6
2026-05-20T13:18:30,PM  10:6
2026-05-20T13:18:30,Particles > 0.3um / 0.1L air:402
2026-05-20T13:18:30,Particles > 0.5um / 0.1L air:336
2026-05-20T13:18:30,Particles > 1.0um / 0.1L air:44
2026-05-20T13:18:30,Particles > 2.5um / 0.1L air:4
2026-05-20T13:18:30,Particles > 5.0um / 0.1L air:0
2026-05-20T13:18:30,Particles > 10.0 um / 0.1L air:0
2026-05-20T13:19:29,-----------------------------------------
2026-05-20T13:19:30,PM 1.0:3
2026-05-20T13:19:30,PM 2.5:6
2026-05-20T13:19:30,PM  10:6
2026-05-20T13:43:35,-----------------------------------------
2026-05-20T13:43:35,PM 1.0:3
2026-05-20T13:43:35,PM 2.5:6
2026-05-20T13:43:35,PM  10:6
2026-05-20T13:43:35,PM 1.0:3
2026-05-20T13:43:35,PM 2.5:6
2026-05-20T13:43:35,PM  10:6
2026-05-20T13:43:35,Particles > 0.3um / 0.1L air:433
2026-05-20T13:43:35,Particles > 0.5um / 0.1L air:382
